Actual \ Predicted    a11y  audio  blog  bug   business  code  content  data  design  doc   eventOrganizing  example  financial  fundingFinding  ideas  infra  maintenance  mentoring  null   platform  plugin  projectManagement  question  review  security  talk  test  tool  translation  tutorial  userTesting  video
--------------------  ----  -----  ----  ----  --------  ----  -------  ----  ------  ----  ---------------  -------  ---------  --------------  -----  -----  -----------  ---------  -----  --------  ------  -----------------  --------  ------  --------  ----  ----  ----  -----------  --------  -----------  -----
   a11y               0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   audio              0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   blog               0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   bug                0.00  0.00   0.00  2.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   business           0.00  0.00   0.00  0.00  1.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       1.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   code               0.00  0.00   0.00  0.00  0.00      2.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       9.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   content            0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       2.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   data               0.00  0.00   0.00  0.00  0.00      0.00  0.00     1.00  0.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       0.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      0.00         0.00 
   design             0.00  0.00   0.00  0.00  0.00      0.00  0.00     0.00  4.00    0.00  0.00             0.00     0.00       0.00            0.00   0.00   0.00         0.00       2.00   0.00      0.00    0.00               0.00      0.00    0.00      0.00  0.00  0.00  0.00         0.00      1.00         0.00 
